Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Load Corporate Wellness Page,500,695,631,1127,1281,1770,219,2402,0.000%,29.20902,3465.63,14.35
TOTAL,500,695,631,1127,1281,1770,219,2402,0.000%,29.20902,3465.63,14.35
